year,scored_401to500,over_400_pct,scored_301to400,scored_201to300,scored_101to200,scored_001to100,Number_sat,Highest_Mark,president,pres_change,cabinet_secretary,cabinet_change,election_year,Source1,Source2,Source3
2022,9443,0.7653267977,307756,619593,296336,24,1233852,431,William Ruto,yes,George Magoha,no,yes,https://www.standardmedia.co.ke/education/article/2001463654/how-2022-kcpe-candidates-performed,,
2021,11857,0.9673711117,315275,578197,307532,1170,1225693,428,Uhuru Kenyatta,no,George Magoha,no,no,"https://shahidinews.co.ke/2022/03/28/kcpe-2021-top-candidate-scores-428-marks-as-overall-performance-improves-compared-to-2020/#:~:text=Candidature%20Details%20For%20KCPE%20Exams%202021&text=The%20candidature%20increased%20by%2034%2C839,)%20respectively%2C%E2%80%9D%20said%20Magoha.",https://mtotonewsblog.wordpress.com/2022/03/29/2021-kcpe-mean-average-and-quality-of-grades-improved-magoha/,
2020,8091,0.6861245285,282090,"589,027",299677,307,1179232,433,Uhuru Kenyatta,no,George Magoha,no,no,,,
2019,9770,0.9017440487,243320,566886,262307,1173,1083456,440,Uhuru Kenyatta,no,George Magoha,yes,no,https://dc.sourceafrica.net/documents/119796-2019-KCPE-ESSENTIAL-STATISTICS.html,,
2018,11559,1.098384209,223862,574173,240178,2592,1052364,453,Uhuru Kenyatta,no,Amina Mohamed,yes,no,https://dc.sourceafrica.net/documents/119796-2019-KCPE-ESSENTIAL-STATISTICS.html,,
2017,9846,0.9908243586,217307,529897,234308,2360,993718,455,Uhuru Kenyatta,no,Fred Matiangi,no,yes,https://dc.sourceafrica.net/documents/119796-2019-KCPE-ESSENTIAL-STATISTICS.html,,
2016,5190,0.5509431318,207141,505552,221438,6747,942021,437,Uhuru Kenyatta,no,Fred Matiangi,yes,no,https://www.capitalfm.co.ke/news/2016/12/top-2016-kcpe-candidate-scores-437-marks/,,
2015,7000,0.7466929503,201986,499568,215614,3061,937467,449,Uhuru Kenyatta,no,Jacob Kaimenyi,no,no,https://www.capitalfm.co.ke/news/2015/12/the-top-students-in-2015-kcpe-exams/,https://ebru.co.ke/kcpe-analysis-for-2017-2016-2015/,
2014,7000,0.7975690097,201986,499568,215614,3061,877667,441,Uhuru Kenyatta,no,Jacob Kaimenyi,yes,no,http://alexkuria.blogspot.com/2015/01/2014-overall-kcpe-summary-results.html,,https://archive.etelej.com/post/kcpe-2014-results
2013,,,,,,,839759,444,Uhuru Kenyatta,yes,Mutula Kilonzo,no,yes,https://www.slideshare.net/erykkoh/appendix-d2013kcpeexaminationessentialstatistics,,
2012,,,,,,,811930,430,Mwai Kibaki,no,Mutula Kilonzo,yes,no,https://www.slideshare.net/erykkoh/appendix-d2013kcpeexaminationessentialstatistics,,
2011,,,,,,,,442,Mwai Kibaki,no,Sam Ongeri,no,no,,,
2010,,,,,,,,434,Mwai Kibaki,no,Sam Ongeri,no,no,,,
2009,,,,,,,,433,Mwai Kibaki,no,Sam Ongeri,no,no,,,
2008,,,,,,,,460,Mwai Kibaki,no,Sam Ongeri,yes,no,,,
2007,,,,,,,,,Mwai Kibaki,no,George Saitoti,no,yes,,,
2006,,,,,,,,,Mwai Kibaki,no,George Saitoti,no,no,,,
2005,,,,,,,,,Mwai Kibaki,no,George Saitoti,no,no,,,
2004,,,,,,,,,Mwai Kibaki,no,George Saitoti,no,no,,,
2003,,,,,,,,,Mwai Kibaki,no,George Saitoti,yes,no,,,
2002,,,,,,,,,Mwai Kibaki,no,Henry Koskey,no,,,,